project,activity_level,year,month,country,editors
de.wikipedia.org,100..-edits,2018,01,DE,1100
de.wikipedia.org,100..-edits,2018,01,AT,100
de.wikipedia.org,100..-edits,2018,01,CH,60
de.wikipedia.org,100..-edits,2018,01,AR,10
de.wikipedia.org,100..-edits,2018,01,AU,10
de.wikipedia.org,100..-edits,2018,01,BE,10
de.wikipedia.org,100..-edits,2018,01,CZ,10
de.wikipedia.org,100..-edits,2018,01,DK,10
de.wikipedia.org,100..-edits,2018,01,ES,10
de.wikipedia.org,100..-edits,2018,01,FR,10
de.wikipedia.org,100..-edits,2018,01,GB,10
de.wikipedia.org,100..-edits,2018,01,IL,10
de.wikipedia.org,100..-edits,2018,01,IT,10
de.wikipedia.org,100..-edits,2018,01,JP,10
de.wikipedia.org,100..-edits,2018,01,LT,10
de.wikipedia.org,100..-edits,2018,01,LV,10
de.wikipedia.org,100..-edits,2018,01,MT,10
de.wikipedia.org,100..-edits,2018,01,NA,10
de.wikipedia.org,100..-edits,2018,01,NL,10
de.wikipedia.org,100..-edits,2018,01,NO,10
de.wikipedia.org,100..-edits,2018,01,PL,10
de.wikipedia.org,100..-edits,2018,01,RS,10
de.wikipedia.org,100..-edits,2018,01,SE,10
de.wikipedia.org,100..-edits,2018,01,SV,10
de.wikipedia.org,100..-edits,2018,01,UA,10
de.wikipedia.org,100..-edits,2018,01,US,10
de.wikipedia.org,100..-edits,2018,01,ZA,10
de.wikipedia.org,100..-edits,2018,02,DE,1020
de.wikipedia.org,100..-edits,2018,02,AT,80
de.wikipedia.org,100..-edits,2018,02,CH,60
de.wikipedia.org,100..-edits,2018,02,AR,10
de.wikipedia.org,100..-edits,2018,02,AU,10
de.wikipedia.org,100..-edits,2018,02,CZ,10
de.wikipedia.org,100..-edits,2018,02,DK,10
de.wikipedia.org,100..-edits,2018,02,EE,10
de.wikipedia.org,100..-edits,2018,02,ES,10
de.wikipedia.org,100..-edits,2018,02,FR,10
de.wikipedia.org,100..-edits,2018,02,GB,10
de.wikipedia.org,100..-edits,2018,02,GT,10
de.wikipedia.org,100..-edits,2018,02,HU,10
de.wikipedia.org,100..-edits,2018,02,IT,10
de.wikipedia.org,100..-edits,2018,02,LT,10
de.wikipedia.org,100..-edits,2018,02,LV,10
de.wikipedia.org,100..-edits,2018,02,NA,10
de.wikipedia.org,100..-edits,2018,02,NL,10
de.wikipedia.org,100..-edits,2018,02,NO,10
de.wikipedia.org,100..-edits,2018,02,PL,10
de.wikipedia.org,100..-edits,2018,02,SE,10
de.wikipedia.org,100..-edits,2018,02,US,10
de.wikipedia.org,100..-edits,2018,03,DE,1070
de.wikipedia.org,100..-edits,2018,03,AT,80
de.wikipedia.org,100..-edits,2018,03,CH,70
de.wikipedia.org,100..-edits,2018,03,AR,10
de.wikipedia.org,100..-edits,2018,03,AU,10
de.wikipedia.org,100..-edits,2018,03,BE,10
de.wikipedia.org,100..-edits,2018,03,CA,10
de.wikipedia.org,100..-edits,2018,03,CV,10
de.wikipedia.org,100..-edits,2018,03,CZ,10
de.wikipedia.org,100..-edits,2018,03,DK,10
de.wikipedia.org,100..-edits,2018,03,ES,10
de.wikipedia.org,100..-edits,2018,03,FR,10
de.wikipedia.org,100..-edits,2018,03,GB,10
de.wikipedia.org,100..-edits,2018,03,GR,10
de.wikipedia.org,100..-edits,2018,03,IT,10
de.wikipedia.org,100..-edits,2018,03,LT,10
de.wikipedia.org,100..-edits,2018,03,LV,10
de.wikipedia.org,100..-edits,2018,03,NA,10
de.wikipedia.org,100..-edits,2018,03,NL,10
de.wikipedia.org,100..-edits,2018,03,NO,10
de.wikipedia.org,100..-edits,2018,03,NZ,10
de.wikipedia.org,100..-edits,2018,03,PL,10
de.wikipedia.org,100..-edits,2018,03,RS,10
de.wikipedia.org,100..-edits,2018,03,SE,10
de.wikipedia.org,100..-edits,2018,03,US,10
de.wikipedia.org,100..-edits,2018,04,DE,990
de.wikipedia.org,100..-edits,2018,04,AT,80
de.wikipedia.org,100..-edits,2018,04,CH,60
de.wikipedia.org,100..-edits,2018,04,AR,10
de.wikipedia.org,100..-edits,2018,04,AU,10
de.wikipedia.org,100..-edits,2018,04,CA,10
de.wikipedia.org,100..-edits,2018,04,CR,10
de.wikipedia.org,100..-edits,2018,04,CZ,10
de.wikipedia.org,100..-edits,2018,04,DK,10
de.wikipedia.org,100..-edits,2018,04,ES,10
de.wikipedia.org,100..-edits,2018,04,FR,10
de.wikipedia.org,100..-edits,2018,04,GB,10
de.wikipedia.org,100..-edits,2018,04,GR,10
de.wikipedia.org,100..-edits,2018,04,IT,10
de.wikipedia.org,100..-edits,2018,04,KH,10
de.wikipedia.org,100..-edits,2018,04,LB,10
de.wikipedia.org,100..-edits,2018,04,LT,10
de.wikipedia.org,100..-edits,2018,04,LU,10
de.wikipedia.org,100..-edits,2018,04,MD,10
de.wikipedia.org,100..-edits,2018,04,MT,10
de.wikipedia.org,100..-edits,2018,04,NA,10
de.wikipedia.org,100..-edits,2018,04,NL,10
de.wikipedia.org,100..-edits,2018,04,NO,10
de.wikipedia.org,100..-edits,2018,04,PL,10
de.wikipedia.org,100..-edits,2018,04,SE,10
de.wikipedia.org,100..-edits,2018,04,US,10
de.wikipedia.org,100..-edits,2018,05,DE,940
de.wikipedia.org,100..-edits,2018,05,AT,70
de.wikipedia.org,100..-edits,2018,05,CH,60
de.wikipedia.org,100..-edits,2018,05,IT,20
de.wikipedia.org,100..-edits,2018,05,AL,10
de.wikipedia.org,100..-edits,2018,05,AR,10
de.wikipedia.org,100..-edits,2018,05,AU,10
de.wikipedia.org,100..-edits,2018,05,CA,10
de.wikipedia.org,100..-edits,2018,05,EC,10
de.wikipedia.org,100..-edits,2018,05,ES,10
de.wikipedia.org,100..-edits,2018,05,FR,10
de.wikipedia.org,100..-edits,2018,05,GB,10
de.wikipedia.org,100..-edits,2018,05,JP,10
de.wikipedia.org,100..-edits,2018,05,LT,10
de.wikipedia.org,100..-edits,2018,05,MT,10
de.wikipedia.org,100..-edits,2018,05,NA,10
de.wikipedia.org,100..-edits,2018,05,NL,10
de.wikipedia.org,100..-edits,2018,05,PL,10
de.wikipedia.org,100..-edits,2018,05,SE,10
de.wikipedia.org,100..-edits,2018,05,US,10
de.wikipedia.org,100..-edits,2018,05,ZA,10
de.wikipedia.org,100..-edits,2018,06,DE,870
de.wikipedia.org,100..-edits,2018,06,AT,70
de.wikipedia.org,100..-edits,2018,06,CH,50
de.wikipedia.org,100..-edits,2018,06,AL,10
de.wikipedia.org,100..-edits,2018,06,AR,10
de.wikipedia.org,100..-edits,2018,06,AU,10
de.wikipedia.org,100..-edits,2018,06,BE,10
de.wikipedia.org,100..-edits,2018,06,CA,10
de.wikipedia.org,100..-edits,2018,06,CL,10
de.wikipedia.org,100..-edits,2018,06,DK,10
de.wikipedia.org,100..-edits,2018,06,ES,10
de.wikipedia.org,100..-edits,2018,06,FR,10
de.wikipedia.org,100..-edits,2018,06,GB,10
de.wikipedia.org,100..-edits,2018,06,GR,10
de.wikipedia.org,100..-edits,2018,06,GT,10
de.wikipedia.org,100..-edits,2018,06,IT,10
de.wikipedia.org,100..-edits,2018,06,LT,10
de.wikipedia.org,100..-edits,2018,06,NA,10
de.wikipedia.org,100..-edits,2018,06,NL,10
de.wikipedia.org,100..-edits,2018,06,PL,10
de.wikipedia.org,100..-edits,2018,06,SE,10
de.wikipedia.org,100..-edits,2018,06,UG,10
de.wikipedia.org,100..-edits,2018,06,US,10
de.wikipedia.org,100..-edits,2018,07,DE,910
de.wikipedia.org,100..-edits,2018,07,AT,80
de.wikipedia.org,100..-edits,2018,07,CH,50
de.wikipedia.org,100..-edits,2018,07,AL,10
de.wikipedia.org,100..-edits,2018,07,AR,10
de.wikipedia.org,100..-edits,2018,07,AU,10
de.wikipedia.org,100..-edits,2018,07,CL,10
de.wikipedia.org,100..-edits,2018,07,CZ,10
de.wikipedia.org,100..-edits,2018,07,DK,10
de.wikipedia.org,100..-edits,2018,07,ES,10
de.wikipedia.org,100..-edits,2018,07,FR,10
de.wikipedia.org,100..-edits,2018,07,GB,10
de.wikipedia.org,100..-edits,2018,07,GR,10
de.wikipedia.org,100..-edits,2018,07,HU,10
de.wikipedia.org,100..-edits,2018,07,IE,10
de.wikipedia.org,100..-edits,2018,07,IT,10
de.wikipedia.org,100..-edits,2018,07,LT,10
de.wikipedia.org,100..-edits,2018,07,NA,10
de.wikipedia.org,100..-edits,2018,07,NL,10
de.wikipedia.org,100..-edits,2018,07,NO,10
de.wikipedia.org,100..-edits,2018,07,PH,10
de.wikipedia.org,100..-edits,2018,07,PL,10
de.wikipedia.org,100..-edits,2018,07,RS,10
de.wikipedia.org,100..-edits,2018,07,SE,10
de.wikipedia.org,100..-edits,2018,07,US,10
de.wikipedia.org,100..-edits,2018,08,DE,950
de.wikipedia.org,100..-edits,2018,08,AT,90
de.wikipedia.org,100..-edits,2018,08,CH,70
de.wikipedia.org,100..-edits,2018,08,AL,10
de.wikipedia.org,100..-edits,2018,08,AR,10
de.wikipedia.org,100..-edits,2018,08,AU,10
de.wikipedia.org,100..-edits,2018,08,CA,10
de.wikipedia.org,100..-edits,2018,08,CL,10
de.wikipedia.org,100..-edits,2018,08,CZ,10
de.wikipedia.org,100..-edits,2018,08,DK,10
de.wikipedia.org,100..-edits,2018,08,ES,10
de.wikipedia.org,100..-edits,2018,08,FR,10
de.wikipedia.org,100..-edits,2018,08,GB,10
de.wikipedia.org,100..-edits,2018,08,GR,10
de.wikipedia.org,100..-edits,2018,08,HU,10
de.wikipedia.org,100..-edits,2018,08,IT,10
de.wikipedia.org,100..-edits,2018,08,LT,10
de.wikipedia.org,100..-edits,2018,08,LV,10
de.wikipedia.org,100..-edits,2018,08,MX,10
de.wikipedia.org,100..-edits,2018,08,NA,10
de.wikipedia.org,100..-edits,2018,08,NL,10
de.wikipedia.org,100..-edits,2018,08,PL,10
de.wikipedia.org,100..-edits,2018,08,PT,10
de.wikipedia.org,100..-edits,2018,08,RS,10
de.wikipedia.org,100..-edits,2018,08,SE,10
de.wikipedia.org,100..-edits,2018,08,US,10
de.wikipedia.org,100..-edits,2018,09,DE,930
de.wikipedia.org,100..-edits,2018,09,AT,80
de.wikipedia.org,100..-edits,2018,09,CH,60
de.wikipedia.org,100..-edits,2018,09,AL,10
de.wikipedia.org,100..-edits,2018,09,AU,10
de.wikipedia.org,100..-edits,2018,09,CA,10
de.wikipedia.org,100..-edits,2018,09,CL,10
de.wikipedia.org,100..-edits,2018,09,CO,10
de.wikipedia.org,100..-edits,2018,09,DK,10
de.wikipedia.org,100..-edits,2018,09,ES,10
de.wikipedia.org,100..-edits,2018,09,FR,10
de.wikipedia.org,100..-edits,2018,09,GB,10
de.wikipedia.org,100..-edits,2018,09,GR,10
de.wikipedia.org,100..-edits,2018,09,HU,10
de.wikipedia.org,100..-edits,2018,09,IT,10
de.wikipedia.org,100..-edits,2018,09,LT,10
de.wikipedia.org,100..-edits,2018,09,NA,10
de.wikipedia.org,100..-edits,2018,09,NL,10
de.wikipedia.org,100..-edits,2018,09,NZ,10
de.wikipedia.org,100..-edits,2018,09,PL,10
de.wikipedia.org,100..-edits,2018,09,SE,10
de.wikipedia.org,100..-edits,2018,09,US,10
de.wikipedia.org,100..-edits,2018,10,DE,1030
de.wikipedia.org,100..-edits,2018,10,AT,80
de.wikipedia.org,100..-edits,2018,10,CH,70
de.wikipedia.org,100..-edits,2018,10,AL,10
de.wikipedia.org,100..-edits,2018,10,AU,10
de.wikipedia.org,100..-edits,2018,10,BE,10
de.wikipedia.org,100..-edits,2018,10,CA,10
de.wikipedia.org,100..-edits,2018,10,CZ,10
de.wikipedia.org,100..-edits,2018,10,DK,10
de.wikipedia.org,100..-edits,2018,10,ES,10
de.wikipedia.org,100..-edits,2018,10,FI,10
de.wikipedia.org,100..-edits,2018,10,FR,10
de.wikipedia.org,100..-edits,2018,10,GB,10
de.wikipedia.org,100..-edits,2018,10,GP,10
de.wikipedia.org,100..-edits,2018,10,GR,10
de.wikipedia.org,100..-edits,2018,10,GT,10
de.wikipedia.org,100..-edits,2018,10,HU,10
de.wikipedia.org,100..-edits,2018,10,IT,10
de.wikipedia.org,100..-edits,2018,10,LT,10
de.wikipedia.org,100..-edits,2018,10,NA,10
de.wikipedia.org,100..-edits,2018,10,NL,10
de.wikipedia.org,100..-edits,2018,10,PL,10
de.wikipedia.org,100..-edits,2018,10,RO,10
de.wikipedia.org,100..-edits,2018,10,SE,10
de.wikipedia.org,100..-edits,2018,10,SI,10
de.wikipedia.org,100..-edits,2018,10,US,10
de.wikipedia.org,100..-edits,2018,11,DE,1020
de.wikipedia.org,100..-edits,2018,11,AT,80
de.wikipedia.org,100..-edits,2018,11,CH,70
de.wikipedia.org,100..-edits,2018,11,AL,10
de.wikipedia.org,100..-edits,2018,11,AU,10
de.wikipedia.org,100..-edits,2018,11,BE,10
de.wikipedia.org,100..-edits,2018,11,CZ,10
de.wikipedia.org,100..-edits,2018,11,DK,10
de.wikipedia.org,100..-edits,2018,11,ES,10
de.wikipedia.org,100..-edits,2018,11,FR,10
de.wikipedia.org,100..-edits,2018,11,GB,10
de.wikipedia.org,100..-edits,2018,11,GP,10
de.wikipedia.org,100..-edits,2018,11,GT,10
de.wikipedia.org,100..-edits,2018,11,IT,10
de.wikipedia.org,100..-edits,2018,11,LT,10
