project,access,agent,timestamp,views
de.wikipedia.org,desktop,automated,2020-04-29,379543
de.wikipedia.org,desktop,automated,2020-04-30,1804646
de.wikipedia.org,desktop,automated,2020-05-01,1399182
de.wikipedia.org,desktop,automated,2020-05-02,1216730
de.wikipedia.org,desktop,automated,2020-05-03,1110343
de.wikipedia.org,desktop,automated,2020-05-04,1132418
de.wikipedia.org,desktop,automated,2020-05-05,1119280
de.wikipedia.org,desktop,automated,2020-05-06,1226947
de.wikipedia.org,desktop,automated,2020-05-07,1116895
de.wikipedia.org,desktop,automated,2020-05-08,964692
de.wikipedia.org,desktop,automated,2020-05-09,954131
de.wikipedia.org,desktop,automated,2020-05-10,1550807
de.wikipedia.org,desktop,automated,2020-05-11,1213845
de.wikipedia.org,desktop,automated,2020-05-12,1609566
de.wikipedia.org,desktop,automated,2020-05-13,1988988
de.wikipedia.org,desktop,automated,2020-05-14,2658669
de.wikipedia.org,desktop,automated,2020-05-15,2027387
de.wikipedia.org,desktop,automated,2020-05-16,1945281
de.wikipedia.org,desktop,automated,2020-05-17,1813013
de.wikipedia.org,desktop,automated,2020-05-18,2397740
de.wikipedia.org,desktop,automated,2020-05-19,2127467
de.wikipedia.org,desktop,automated,2020-05-20,2109520
de.wikipedia.org,desktop,automated,2020-05-21,1546225
de.wikipedia.org,desktop,automated,2020-05-22,1701945
de.wikipedia.org,desktop,automated,2020-05-23,1692304
de.wikipedia.org,desktop,automated,2020-05-24,1950946
de.wikipedia.org,desktop,automated,2020-05-25,2386173
de.wikipedia.org,desktop,automated,2020-05-26,2505572
de.wikipedia.org,desktop,automated,2020-05-27,2509662
de.wikipedia.org,desktop,automated,2020-05-28,1983067
de.wikipedia.org,desktop,automated,2020-05-29,1472935
de.wikipedia.org,desktop,automated,2020-05-30,758872
de.wikipedia.org,desktop,automated,2020-05-31,750532
de.wikipedia.org,desktop,automated,2020-06-01,784752
de.wikipedia.org,desktop,automated,2020-06-02,1693167
de.wikipedia.org,desktop,automated,2020-06-03,1478561
de.wikipedia.org,desktop,automated,2020-06-04,1527509
de.wikipedia.org,desktop,automated,2020-06-05,1403745
de.wikipedia.org,desktop,automated,2020-06-06,1526838
de.wikipedia.org,desktop,automated,2020-06-07,1497114
de.wikipedia.org,desktop,automated,2020-06-08,1253242
de.wikipedia.org,desktop,automated,2020-06-09,1326558
de.wikipedia.org,desktop,automated,2020-06-10,1470454
de.wikipedia.org,desktop,automated,2020-06-11,1161877
de.wikipedia.org,desktop,automated,2020-06-12,1313322
de.wikipedia.org,desktop,automated,2020-06-13,763489
de.wikipedia.org,desktop,automated,2020-06-14,979727
de.wikipedia.org,desktop,automated,2020-06-15,1303581
de.wikipedia.org,desktop,automated,2020-06-16,1446287
de.wikipedia.org,desktop,automated,2020-06-17,1343317
de.wikipedia.org,desktop,automated,2020-06-18,1390286
de.wikipedia.org,desktop,automated,2020-06-19,1161934
de.wikipedia.org,desktop,automated,2020-06-20,1585320
de.wikipedia.org,desktop,automated,2020-06-21,713391
de.wikipedia.org,desktop,automated,2020-06-22,1254583
de.wikipedia.org,desktop,automated,2020-06-23,2016303
de.wikipedia.org,desktop,automated,2020-06-24,2051895
de.wikipedia.org,desktop,automated,2020-06-25,1708879
de.wikipedia.org,desktop,automated,2020-06-26,1121029
de.wikipedia.org,desktop,automated,2020-06-27,694939
de.wikipedia.org,desktop,automated,2020-06-28,727815
de.wikipedia.org,desktop,automated,2020-06-29,993003
de.wikipedia.org,desktop,automated,2020-06-30,1451758
de.wikipedia.org,desktop,automated,2020-07-01,2021127
de.wikipedia.org,desktop,automated,2020-07-02,2712478
de.wikipedia.org,desktop,automated,2020-07-03,1619738
de.wikipedia.org,desktop,automated,2020-07-04,1217308
de.wikipedia.org,desktop,automated,2020-07-05,1199701
de.wikipedia.org,desktop,automated,2020-07-06,1193507
de.wikipedia.org,desktop,automated,2020-07-07,1261466
de.wikipedia.org,desktop,automated,2020-07-08,6845833
de.wikipedia.org,desktop,automated,2020-07-09,7703830
de.wikipedia.org,desktop,automated,2020-07-10,6071491
de.wikipedia.org,desktop,automated,2020-07-11,5359849
de.wikipedia.org,desktop,automated,2020-07-12,4881206
de.wikipedia.org,desktop,automated,2020-07-13,5361006
de.wikipedia.org,desktop,automated,2020-07-14,4639327
de.wikipedia.org,desktop,automated,2020-07-15,4995876
de.wikipedia.org,desktop,automated,2020-07-16,3735693
de.wikipedia.org,desktop,automated,2020-07-17,5320791
de.wikipedia.org,desktop,automated,2020-07-18,4717086
de.wikipedia.org,desktop,automated,2020-07-19,2295722
de.wikipedia.org,desktop,automated,2020-07-20,5189576
de.wikipedia.org,desktop,automated,2020-07-21,3036227
de.wikipedia.org,desktop,automated,2020-07-22,5645199
de.wikipedia.org,desktop,automated,2020-07-23,5227307
de.wikipedia.org,desktop,automated,2020-07-24,5611513
de.wikipedia.org,desktop,automated,2020-07-25,758466
de.wikipedia.org,desktop,automated,2020-07-26,862290
de.wikipedia.org,desktop,automated,2020-07-27,3017181
de.wikipedia.org,desktop,automated,2020-07-28,5073348
de.wikipedia.org,desktop,automated,2020-07-29,6459066
de.wikipedia.org,desktop,automated,2020-07-30,1547876
